Type|Date|Source|Description|Reference|Currency|Debit (Source)|Credit (Source)|Debit (AUD)|Credit (AUD)|Running Balance (AUD)
Sales - St Vincent's Private Hospital Sydney|02 Aug 2024|Receivable Credit Note|St Vincent's Private Hospital Sydney - Standalone Locking Cervical Cage Size 6 Standard (HRC6Sd)|10169|AUD|416.20|0.00|416.20|0.00|(416.20)
Sales - St Vincent's Private Hospital Sydney|02 Aug 2024|Receivable Credit Note|St Vincent's Private Hospital Sydney - Noraker Glass Boneputty 1cc (GB-IP 1.0)|10169|AUD|102.60|0.00|102.60|0.00|(102.60)
Sales - The Park Private Hospital|21 Aug 2024|Receivable Invoice|The Park Private Hospital - Noraker Glass Boneputty 1cc - IY001 - 341771 (GB-IP 1.0)|119364|AUD|0.00|1,026.00|0.00|1,026.00|1,026.00
Sales - The Park Private Hospital|21 Aug 2024|Receivable Invoice|The Park Private Hospital - Noraker Glass Boneputty 1cc - IY001 - 341771 (GB-IP 1.0)|119634|AUD|0.00|1,026.00|0.00|1,026.00|1,026.00
Sales - The Wesley Hospital- Brisbane|06 Aug 2024|Receivable Invoice|The Wesley Hospital- Brisbane - Tezo P 24x10mm, 11mm, 5 Deg - ER358 (CS 3401-11)|1721196|AUD|0.00|4,692.00|0.00|4,692.00|4,692.00
Sales - The Wesley Hospital- Brisbane|06 Aug 2024|Receivable Invoice|The Wesley Hospital- Brisbane - Reduction Pedicle Screw uCentum 6.5x40mm (Cannulated) - IY066 - 365230 (CS 3805-065-040)|1721196|AUD|0.00|4,340.00|0.00|4,340.00|4,340.00
Sales - The Wesley Hospital- Brisbane|06 Aug 2024|Receivable Invoice|The Wesley Hospital- Brisbane - Locking Screw, Pre-Fixation uCentum - ER340 (CS 3801-02)|1721196|AUD|0.00|2,240.00|0.00|2,240.00|2,240.00
Sales - The Wesley Hospital- Brisbane|06 Aug 2024|Receivable Invoice|The Wesley Hospital- Brisbane - Perc Rod 35mm uCentum Bent - IY067 - 365230 (CS 3809-035)|1721196|AUD|0.00|680.00|0.00|680.00|680.00
Sales - The Wesley Hospital- Brisbane|06 Aug 2024|Receivable Invoice|The Wesley Hospital- Brisbane - Guide Wire 1.5x500mm - N/A (CS 2624)|1721196|AUD|0.00|440.00|0.00|440.00|440.00
Sales - Brisbane South Private Hospital|20 Aug 2024|Receivable Invoice|Brisbane South Private Hospital - Noraker Glass Boneputty 1cc - IY001 - 341771 (GB-IP 1.0)|3002690|AUD|0.00|1,026.00|0.00|1,026.00|1,026.00
Sales - Cairns Base Hospital|01 Aug 2024|Receivable Invoice|Cairns Hospital - Screw, monoaxial, 7.5mm diameter, length 40mm (Cannulated) - ER330 (CS 3803-075-040)|4304000344|AUD|0.00|3,556.00|0.00|3,556.00|3,556.00
Sales - Cairns Base Hospital|01 Aug 2024|Receivable Invoice|Cairns Hospital - Screw, monoaxial, 7.5mm diameter, length 45mm (Cannulated) - ER330 (CS 3803-075-045)|4304000344|AUD|0.00|889.00|0.00|889.00|889.00
Sales - Cairns Base Hospital|01 Aug 2024|Receivable Invoice|Cairns Hospital - Poly Pedicle Screw uCentum 7.5x40mm (Cannulated) - IY066 - 365230 (CS 3802-075-040)|4304000344|AUD|0.00|3,255.00|0.00|3,255.00|3,255.00
Sales - Cairns Base Hospital|01 Aug 2024|Receivable Invoice|Cairns Hospital - Poly Pedicle Screw uCentum 7.5x35mm (Cannulated) - IY066 - 365230 (CS 3802-075-035)|4304000344|AUD|0.00|2,170.00|0.00|2,170.00|2,170.00
Sales - Cairns Base Hospital|01 Aug 2024|Receivable Invoice|Cairns Hospital - Locking Screw uCentum - IY068 - 365230 (CS 3801-01)|4304000344|AUD|0.00|1,144.00|0.00|1,144.00|1,144.00
Sales - Cairns Base Hospital|01 Aug 2024|Receivable Invoice|Cairns Hospital - Guide Wire 1.5x500mm - N/A (CS 2624)|4304000344|AUD|0.00|770.00|0.00|770.00|770.00
Sales - Cairns Base Hospital|01 Aug 2024|Receivable Invoice|Cairns Hospital - Perc Rod 110mm uCentum Straight - IY067 - 365230 (CS 3808-110)|4304000344|AUD|0.00|680.00|0.00|680.00|680.00
Sales - Toowoomba Base Hospital|05 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Standalone Locking Cervical Cage Size 6 Standard - IY029 - 322672 (HRC6Sd)|4304007734|AUD|0.00|4,161.00|0.00|4,161.00|4,161.00
Sales - Toowoomba Base Hospital|05 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Caspar Traction Screws 12mm - N/A - 259733 (FF912SB)|4304007734|AUD|0.00|400.00|0.00|400.00|400.00
Sales - Allograft|05 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - ENHANCE Demineralized Cortical Fibers Medium 2.5cc Freeze-Dried - CAA17 - 299298 (AU422204)|4304007734|AUD|0.00|2,446.00|0.00|2,446.00|2,446.00
Sales - Princess Alexandra Hospital|13 Aug 2024|Receivable Invoice|Princess Alexandra Hospital - V-Mix 03 Bone Cement & Mix System - OH503 - OH503 - 235604 (800047)|4304028161|AUD|0.00|437.00|0.00|437.00|437.00
Sales - Princess Alexandra Hospital|13 Aug 2024|Receivable Invoice|Princess Alexandra Hospital - V-HP GUN - OH503 - 235604 (900165)|4304028161|AUD|0.00|437.00|0.00|437.00|437.00
Sales - Princess Alexandra Hospital|13 Aug 2024|Receivable Invoice|Princess Alexandra Hospital - Jamshidi TJ Biopsy Needle 8G 6'  - N/A (SEC6008)|4304028161|AUD|0.00|790.00|0.00|790.00|790.00
Sales - Royal Brisbane & Womens Hospital|23 Aug 2024|Receivable Invoice|Royal Brisbane & Women's Hospital - JAZZ EVO - 6mm Connector Kit - IY041 - 200830 (150260)|4304056984|AUD|0.00|6,072.00|0.00|6,072.00|6,072.00
Sales - Royal Brisbane & Womens Hospital|23 Aug 2024|Receivable Invoice|Royal Brisbane & Women's Hospital - JAZZ BAND - IY040 - 200830 (150156)|4304056984|AUD|0.00|6,072.00|0.00|6,072.00|6,072.00
Sales - Princess Alexandra Hospital|27 Aug 2024|Receivable Invoice|Princess Alexandra Hospital - Jamshidi TJ Biopsy Needle 8G 6'  - N/A (SEC6008)|4304057352|AUD|0.00|790.00|0.00|790.00|790.00
Sales - Cairns Base Hospital|27 Aug 2024|Receivable Invoice|Cairns Hospital - ENHANCE Demineralized Cortical Fibers XLarge 10cc Freeze-Dried - CAA23 (AU422206)|4304060284|AUD|0.00|3,155.00|0.00|3,155.00|3,155.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Nitinol K-Wire 1.3x540mm (Sharp - MIS) - N/A - 236041 (ES-7002)|4304067005|AUD|0.00|600.00|0.00|600.00|600.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera-k SA Cage - 42mm X 32mm x 17mm, 12 Deg Lordosis  - IY054 - 354092 (1067-142-217)|4304067005|AUD|0.00|5,948.00|0.00|5,948.00|5,948.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SA Variable Angle Hex Screw - 4.5 x 20 mm - IY056 - 354092 (1028-453-220)|4304067005|AUD|0.00|372.00|0.00|372.00|372.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Katana Pre-lordorsed MIS Rod, 45mm - IY024 - 236041 (ES-04-5045)|4304067005|AUD|0.00|680.00|0.00|680.00|680.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SA Variable Angle Hex Screw - 4.5 x 30 mm - IY056 - 354092 (1028-453-230)|4304067005|AUD|0.00|372.00|0.00|372.00|372.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SA Locking Plate - IY057 - 354092 (1028-003-001)|4304067005|AUD|0.00|391.00|0.00|391.00|391.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Katana Set Screw - IY010 - 236041 (ES-04-7000)|4304067005|AUD|0.00|572.00|0.00|572.00|572.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Katana Polyaxial Screw, 7.5x50mm - IY004 - 236041 (ES-04-1750)|4304067005|AUD|0.00|4,340.00|0.00|4,340.00|4,340.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Jamshidi TJ Biopsy Needle 8G 6'  - N/A (SEC6008)|4304067005|AUD|0.00|790.00|0.00|790.00|790.00
Sales - Allograft|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - ENHANCE Demineralized Cortical Fibers Medium 2.5cc Freeze-Dried - CAA17 - 299298 (AU422204)|4304067005|AUD|0.00|7,338.00|0.00|7,338.00|7,338.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SC Locking Plate - IY057 - 354092 (1050-003-004)|4304067011|AUD|0.00|391.00|0.00|391.00|391.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SC Screw, Self-Drilling - 3.5 x 16 mm - IY056 - 354092 (1050-135-016)|4304067011|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SC Screw, Self-Drilling - 3.5 x 16 mm - IY056 - 354092 (1050-135-016)|4304067011|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SC Screw, Self-Drilling - 3.5 x 16 mm - IY056 - 354092 (1050-135-016)|4304067011|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SC Locking Plate - IY057 - 354092 (1050-003-004)|4304067011|AUD|0.00|391.00|0.00|391.00|391.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SC Cage - Large, 7 Deg, 17.5 x 15 x 6 mm - IY055 - 354092 (1050-217-506)|4304067011|AUD|0.00|4,162.00|0.00|4,162.00|4,162.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SC Screw, Self-Drilling - 3.5 x 16 mm - IY056 - 354092 (1050-135-016)|4304067011|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SC Screw, Self-Drilling - 3.5 x 16 mm - IY056 - 354092 (1050-135-016)|4304067011|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SC Locking Plate - IY057 - 354092 (1050-003-004)|4304067011|AUD|0.00|391.00|0.00|391.00|391.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SC Screw, Self-Drilling - 3.5 x 16 mm - IY056 - 354092 (1050-135-016)|4304067011|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SC Cage - Large, 7 Deg, 17.5 x 15 x 6 mm - IY055 - 354092 (1050-217-506)|4304067011|AUD|0.00|4,162.00|0.00|4,162.00|4,162.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - Tesera SC Screw, Self-Drilling - 3.5 x 14 mm - IY056 - 354092 (1050-135-014)|4304067011|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Toowoomba Base Hospital|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - uNion Standard Cervical Plate - 1 Level, 16mm - PC033 (UM 102-01-16)|4304067011|AUD|0.00|1,180.00|0.00|1,180.00|1,180.00
Sales - Allograft|29 Aug 2024|Receivable Invoice|Toowoomba Base Hospital - ENHANCE Demineralized Cortical Fibers Medium 2.5cc Freeze-Dried - CAA17 - 299298 (AU422204)|4304067011|AUD|0.00|2,446.00|0.00|2,446.00|2,446.00
Sales - Greenslopes Private Hospital|01 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - ENHANCE Demineralized Cortical Fibers XLarge 10cc Freeze-Dried - CAA23 - 299298 (AU422206)|4506318927|AUD|0.00|6,310.00|0.00|6,310.00|6,310.00
Sales - Greenslopes Private Hospital|01 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Reduction Pedicle Screw uCenutm 6.5x45mm (Cannulated) - IY066 - 365230 (CS 3805-065-045)|4506318927|AUD|0.00|4,496.00|0.00|4,496.00|4,496.00
Sales - Greenslopes Private Hospital|01 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Locking Screw, Pre-Fixation uCentum - ER340 (CS 3801-02)|4506318927|AUD|0.00|2,240.00|0.00|2,240.00|2,240.00
Sales - Greenslopes Private Hospital|01 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Perc Rod 65mm uCentum Straight - IY067 - 365230 (CS 3808-065)|4506318927|AUD|0.00|355.00|0.00|355.00|355.00
Sales - Greenslopes Private Hospital|01 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Perc Rod 60mm uCentum Straight - IY067 - 365230 (CS 3808-060)|4506318927|AUD|0.00|355.00|0.00|355.00|355.00
Sales - Greenslopes Private Hospital|01 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Guide Wire 1.5x500mm - N/A (CS 2624)|4506318927|AUD|0.00|440.00|0.00|440.00|440.00
Sales - Greenslopes Private Hospital|01 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - V-Mix 03 Bone Cement & Mix System - OH503 (800047)|4506318927|AUD|0.00|437.00|0.00|437.00|437.00
Sales - Greenslopes Private Hospital|01 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - V-HP GUN (900165)|4506318927|AUD|0.00|437.00|0.00|437.00|437.00
Sales - Westmead Private Hospital|23 Aug 2024|Receivable Invoice|Westmead Private Hospital - Standalone Locking Cervical Cage Size 5 Standard - IY029 - 322672 (HRC5Sd)|4506370037|AUD|0.00|6,659.20|0.00|6,659.20|6,659.20
Sales - Westmead Private Hospital|23 Aug 2024|Receivable Invoice|Westmead Private Hospital - Cato ACDF Standalone 6 Deg Cage - Medium, 6mm - IY110 - 248234 (ES-170606)|4506370037|AUD|0.00|8,324.00|0.00|8,324.00|8,324.00
Sales - Westmead Private Hospital|23 Aug 2024|Receivable Invoice|Westmead Private Hospital - Disposable Caspar Pin, 14mm - N/A - 236041 (132-20-0002)|4506370037|AUD|0.00|370.00|0.00|370.00|370.00
Sales - Allograft|19 Aug 2024|Receivable Invoice|Cairns Private Hospital - ENHANCE Demineralized Cortical Fibers XLarge 10cc Freeze-Dried - CAA23 - 299298 (AU422206)|4506425077|AUD|0.00|6,310.00|0.00|6,310.00|6,310.00
